Start Date,End Date,Grand Prix,Circuit,Winner ID,Winner,Flag,Country,Event Link,Completed
2022-05-20T12:00Z,2022-05-22T13:00Z,Pirelli Spanish GP,Madring,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600014132,True
2022-05-27T12:00Z,2022-05-29T14:05Z,Monaco GP,Circuit de Monaco,4472,Sergio Pérez,https://a.espncdn.com/i/teamlogos/countries/500/mex.png,Mexico,/f1/race/_/id/600014133,True
2022-06-10T11:00Z,2022-06-12T11:00Z,Azerbaijan GP,Baku City Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600014134,True
2022-06-17T18:00Z,2022-06-19T18:00Z,AWS Canada GP,Circuit Gilles-Villeneuve,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600014135,True
2022-07-01T12:00Z,2022-07-03T14:00Z,Lenovo British GP,Silverstone Circuit,4686,Carlos Sainz,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,Spain,/f1/race/_/id/600014136,True
2022-07-08T11:30Z,2022-07-10T13:00Z,Rolex Austrian GP,Red Bull Ring,5498,Charles Leclerc,https://a.espncdn.com/i/teamlogos/countries/500/mon.png,Monaco,/f1/race/_/id/600014137,True
2022-07-22T12:00Z,2022-07-24T13:00Z,Lenovo French GP,Circuit Paul Ricard,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600014138,True
2022-07-29T12:00Z,2022-07-31T13:00Z,Aramco Hungarian GP,Hungaroring,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600014139,True
2022-08-26T12:00Z,2022-08-28T13:00Z,Rolex Belgian GP,Circuit de Spa-Francorchamps,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600014140,True
2022-09-02T10:30Z,2022-09-04T13:00Z,Heineken Dutch GP,Circuit Park Zandvoort,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600014141,True
2022-09-09T12:00Z,2022-09-11T13:00Z,Pirelli Italian GP,Autodromo Nazionale Monza,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600014142,True
2022-09-23T10:00Z,2022-09-25T11:00Z,VTB Russian GP,Sochi Autodrom,,,,,/f1/race/_/id/600014143,False
2022-09-30T10:00Z,2022-10-02T13:05Z,Singapore Air Singapore GP,Marina Bay Street Circuit,4472,Sergio Pérez,https://a.espncdn.com/i/teamlogos/countries/500/mex.png,Mexico,/f1/race/_/id/600014144,True
2022-10-07T03:00Z,2022-10-09T05:00Z,Honda Japanese GP,Suzuka International Racing Course,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600014145,True
2022-10-21T19:00Z,2022-10-23T19:00Z,Aramco United States GP,Circuit of the Americas,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600014146,True
2022-10-28T18:00Z,2022-10-30T20:00Z,Mexico GP,Autodromo Hermanos Rodriguez,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600014147,True
2022-11-11T15:30Z,2022-11-13T18:00Z,Heineken Brazil GP,Autodromo Jose Carlos Pace,5503,George Russell,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600014148,True
2022-11-18T10:00Z,2022-11-20T13:00Z,Etihad Airways Abu Dhabi GP,Yas Marina Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600014149,True
2023-03-03T11:30Z,2023-03-05T15:00Z,Gulf Air Bahrain GP,Bahrain International Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026747,True
2023-03-17T13:30Z,2023-03-19T17:00Z,STC Saudi Arabian GP,Jeddah Street Circuit,4472,Sergio Pérez,https://a.espncdn.com/i/teamlogos/countries/500/mex.png,Mexico,/f1/race/_/id/600026748,True
2023-03-31T01:30Z,2023-04-02T05:00Z,Rolex Australian GP,Melbourne Grand Prix Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026749,True
2023-04-28T09:30Z,2023-04-30T11:00Z,Azerbaijan GP,Baku City Circuit,4472,Sergio Pérez,https://a.espncdn.com/i/teamlogos/countries/500/mex.png,Mexico,/f1/race/_/id/600026751,True
